"","fish_id","bin","LLLL","LLLR","LLRL","LLRR","LRLL","LRLR","LRRL","LRRR","RLLL","RLLR","RLRL","RLRR","RRLL","RRLR","RRRL","RRRR","L","R","total_turns","reps","alts","rel_reps","rel_alts","rel_R","rel_L"
"1","1","1",2,4,2,4,3,11,6,5,4,2,12,7,3,8,5,12,38,55,93,14,23,15.0537634408602,24.7311827956989,59.1397849462366,40.8602150537634
"2","1","2",2,4,5,4,6,20,6,9,4,5,21,11,3,12,9,11,57,78,135,13,41,9.62962962962963,30.3703703703704,57.7777777777778,42.2222222222222
"3","1","3",0,3,8,4,7,42,4,4,3,9,41,4,5,4,5,10,73,83,156,10,83,6.41025641025641,53.2051282051282,53.2051282051282,46.7948717948718
"4","1","4",0,0,2,3,5,62,4,6,0,5,65,7,0,10,6,6,83,101,184,6,127,3.26086956521739,69.0217391304348,54.8913043478261,45.1086956521739
"5","1","5",0,1,6,1,4,55,9,4,1,6,53,11,3,10,4,3,81,93,174,3,108,1.72413793103448,62.0689655172414,53.448275862069,46.551724137931
"6","1","6",0,4,5,2,6,64,2,5,4,3,64,5,2,5,5,1,90,90,180,1,128,0.555555555555556,71.1111111111111,50,50
"7","10","1",50,4,3,2,5,8,1,1,4,1,10,0,0,2,1,0,77,18,95,50,18,52.6315789473684,18.9473684210526,18.9473684210526,81.0526315789474
"8","10","2",17,6,7,1,6,2,2,0,5,2,1,1,1,1,0,0,42,13,55,17,3,30.9090909090909,5.45454545454545,23.6363636363636,76.3636363636364
"9","10","3",107,1,3,0,3,1,0,0,2,1,1,0,0,0,0,0,118,4,122,107,2,87.7049180327869,1.63934426229508,3.27868852459016,96.7213114754098
"10","10","4",36,4,3,2,3,0,2,0,4,1,0,0,2,0,0,0,52,8,60,36,0,60,0,13.3333333333333,86.6666666666667
"11","10","5",31,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,37,1,38,31,0,81.5789473684211,0,2.63157894736842,97.3684210526316
"12","10","6",31,4,4,1,4,2,1,0,4,1,2,0,1,0,0,0,50,8,58,31,4,53.448275862069,6.89655172413793,13.7931034482759,86.2068965517241
"13","11","1",7,6,5,7,5,8,7,12,7,6,8,12,7,12,12,13,60,77,137,20,16,14.5985401459854,11.6788321167883,56.2043795620438,43.7956204379562
"14","11","2",0,0,4,3,2,6,2,8,1,7,4,7,5,5,8,12,28,49,77,12,10,15.5844155844156,12.987012987013,63.6363636363636,36.3636363636364
"15","11","3",2,1,1,2,1,1,3,1,0,2,1,2,2,2,1,3,14,14,28,5,2,17.8571428571429,7.14285714285714,50,50
"16","11","4",0,1,1,4,3,2,3,6,1,4,4,5,2,7,6,7,21,38,59,7,6,11.864406779661,10.1694915254237,64.406779661017,35.5932203389831
"17","11","5",0,0,0,0,0,4,1,4,0,0,3,5,0,4,4,6,10,24,34,6,7,17.6470588235294,20.5882352941176,70.5882352941177,29.4117647058824
"18","11","6",0,0,2,0,1,1,1,2,0,2,1,3,1,3,3,9,9,23,32,9,2,28.125,6.25,71.875,28.125
"19","12","1",6,6,6,6,7,3,5,3,6,6,3,2,5,2,3,3,43,32,75,9,6,12,8,42.6666666666667,57.3333333333333
"20","12","2",3,5,4,7,4,2,4,7,4,6,2,4,6,5,7,8,37,44,81,11,4,13.5802469135802,4.93827160493827,54.320987654321,45.679012345679
"21","12","3",4,7,5,4,7,6,3,1,7,3,8,0,3,2,1,0,39,25,64,4,14,6.25,21.875,39.0625,60.9375
"22","12","4",7,4,6,1,6,4,2,0,3,3,4,1,1,1,0,0,32,14,46,7,8,15.2173913043478,17.3913043478261,30.4347826086957,69.5652173913043
"23","12","5",9,4,7,3,9,2,2,2,4,5,4,1,0,3,2,2,39,23,62,11,6,17.741935483871,9.67741935483871,37.0967741935484,62.9032258064516
"24","12","6",9,4,4,1,2,3,3,1,4,1,0,3,3,1,1,2,28,17,45,11,3,24.4444444444444,6.66666666666667,37.7777777777778,62.2222222222222
"25","13","1",48,14,16,4,17,7,3,1,15,6,8,0,4,0,1,0,113,34,147,48,15,32.6530612244898,10.2040816326531,23.1292517006803,76.8707482993197
